text_id,u_n,u_who,text,label
SJB4,395,S0197,you will you will,
SJB4,2398,S0197,see er hold on a minute,
SUVQ,14876,S0198,yeah paper,
SP9F,1777,S0262,yeah,
SFNQ,1587,S0192,and I got to uni and was just very blunt and honest and said I don't wanna be in a relationship you know what I mean? so ,
SMVW,383,S0390,I mean it was risky ,
SMW8,811,S0255,the thing is you do work very hard ,
SJB4,4995,S0192,er you need to be rich to do that,
S985,2340,S0337,oh ,
SC2T,224,S0391,oh sorry yeah,
SMW8,936,S0255,that's ,
SYHP,256,S0360,but they do say that the the the the the most formative years of your speech and language development and the accents you adopt is to five years,
S6BS,761,S0602,cars,
S84P,554,S0013,right,
SKJ3,344,S0198,nobody a generation below me won't know the our time ,
SLSS,14,S0584,yeah,
S28F,413,S0315,and just helping to stimulate all these areas just to help everything unblock,
SDFL,1025,S0012,who said that then?,
SAZX,518,S0600,what is the name of the game that Winnie the Pooh plays with this friends on a bridge?,
SA2J,3030,S0525,bung a few quid,
SAZX,1353,S0602,it was Shakespeare?,
S6BS,1054,S0602,is he gonna get it right or wrong ,
SV28,611,S0192,takes a while to heat up,
SUUE,1404,S0262,mm,
S632,4412,S0202,have you finished talking?,1
SB4D,1478,S0197,for a hundred quid,
S85D,1516,S0336,oh really?,
SDFL,2261,S0012,that that that says you are thinking a lot of him,
S38V,1971,S0192,that's for sure,
SMW8,4393,S0255,plums,
SJLF,179,S0202,yeah,
S632,6369,S0202,I did say it,
SWY3,1685,S0391,is that the name of a grape?,
SLSS,1148,S0583,the difference between that and and I was like four grand that could buy me a nice car,
SNG4,593,S0258,yeah,
S3M4,5,S0517,yes anyway we need to get her her attention I think,
S985,140,S0337,we could definitely go to er ,
SUGJ,741,S0282,yeah,
SQ93,114,S0392,yeah but they but they had to play off it as well so they had the difficulty,
SYWR,691,S0397,finger,
SA7J,132,S0561,and it says in the rules something to the effect of,
SKJ3,98,S0198,yeah,
SVLK,77,S0266,yes I think that was the second year yeah so she was still quite sort of immature working reasonably hard but not I don't think completely focused about why or what she was doing,
SLBG,302,S0415,well they're not psychics so they're not gonna come along and just ,
SJB4,1632,S0192,that wasn't one from where I was I go first do I?,
SWY3,2626,S0391,yeah,
SUVQ,2379,S0198,we didn't know before we got to South America we haven't heard hipster before,
S5XD,788,S0192,cos she's got er well they they go there but they can't get her here because she has too many children now,
S35K,133,S0262,yes ,
SG97,201,S0486,yeah,
SNG4,850,S0258,he used to share a house with his brother but his brother's moved out now and I would probably say he's a little bit set in his ways,
SV28,310,S0198,yeah ,
S6BS,547,S0594,oh er,
SB32,633,S0617,yeah I'd have a week,
SUUE,796,S0371,quite mixed ,
SJSC,696,S0439,oh no,
SVZH,718,S0198,yeah I know it's really handy,
SVZH,449,S0231,and you can't ride along there either,
ST82,92,S0525,are you taking ,
SWY3,37,S0545,sorry I'm just sitting here doing nothing,
SEKZ,2268,S0262,cos I've got,
SHBJ,225,S0180,they smell buttery,
S5B6,504,S0198,she's erm she ,
S3LE,2806,S0343,leave it to me ,
SR7C,1488,S0525,mm,
S4QK,559,S0246,that Ashley Madison thing?,
SD3R,1617,S0344,you shouldn't bring a child,
SMW8,4037,S0255,to be sent you know,
SJB4,3746,S0192,it's doing well though it's in good condition isn't it?,
S5XD,2492,S0192,I hope so,
S35K,1162,S0372,no this one,
S4QK,915,S0245,I wanted to give him a name but I think I wanna call him Mr Pringles,
SN98,1046,S0198,can you manage there mum?,
SAZX,1078,S0593,plus you're blowing their cover,
SLSS,1379,S0583,no he'd ,
SA7J,987,UNKMALE,er mm,
S985,955,S0337,like he was lazy but,
SZ98,361,S0439,yeah it's like if I was naÃ¯ve I'd be like oh wow he cares so much but he just doesn't,
S3CK,355,S0417,mm mm,
SKJ3,374,S0230,TRUE,
S6BS,1758,S0592,well I don't I ,
S6BS,2062,S0592,but I don't know what colour I want to go to,
SM99,321,S0336,erm there's a nice picture,
SBJM,213,S0326,and they they'd cut they snipped it?,
SD6X,962,S0058,yeah,
S85D,614,S0336,mm,
S6BS,3029,S0602,it is,
S632,956,S0211,ah the plus is fucking ,
S28F,2024,S0315,so that's why then I was picking that up,
SLJ5,798,S0679,I mean I don't I mean I'm I my my life is quite you know I've got I would have needed an MP3 player,
S3LE,437,UNKMALE,thank you very much,
SC2T,797,S0391,oh,
SEKZ,1923,S0262,in Africa or Thailand?,
SUGJ,752,S0645,mm,
SEKZ,1237,S0262,mm,
SUUE,1659,S0371,absolutely,
S3LE,1098,UNKMALE,there you are,
SMW8,1965,S0256,oh yeah you know what's on tonight and I'm now ,
SD6X,1668,S0058,so I'll suggest it,
S38V,1837,S0192,just I made a mess,
SYWR,955,S0397,I have no idea how serious ,
ST47,205,S0125,kind of cult status films,
SMW8,2252,S0316,Eric ,
SEKZ,1738,S0353,and,
S7ZG,104,S0261,right,
S682,1215,S0189,hundreds ,
SYHP,3042,S0361,no no no I,
SR5J,174,S0497,I've still got another card to play,
S38V,1814,S0198,it's all going to the ,
SKZX,13,S0393,he said that sounds interesting or something,
SMW8,824,S0316,just a brand manager,
S38V,2683,S0192,to sit in his car and drive it around,
SNMZ,1193,S0566,cos the one time it was the twenty-seventh,
SHJE,1500,S0594,yes you did,
SAUR,1821,S0192,get everything off the board,
SUVQ,13661,S0198,lasagna,
SE6F,474,S0337,press it press it press there yes now use your E oh my god you just ,
S38V,2389,S0192,so you have to keep cracking through to the ice cream,
SUVQ,3501,S0198,we could see each other's could we? ,
SUVQ,11126,S0198,yeah yeah yeah,
SEKZ,2349,S0353,and I found,
SAZX,748,S0600,no I don't know it sorry,
SNMZ,1061,S0564,what? ready for next year?,
S6W8,1775,S0497,I've just got a knife here do you wanna do it?,
SPJR,292,S0615,that's okay it's just in there no need to panic,
S985,2147,UNKMALE,did you go nocturnal?,
SEKZ,1616,S0353,yeah yeah ,
SNMZ,832,S0566,yeah but in a way that's that's better,
S35K,652,S0372,it would be a politically useful weapon,
S38V,1634,S0198,I don't know see there are two types of spoon in here which one's a legit teaspoon?,
SUVQ,6699,S0192,oh my god,
SLSS,2051,S0585,but erm,
SYHP,1803,S0360,she said er well we need an address I think because was on a British passport,
SGYW,659,S0070,I didn't ,
SYHP,159,S0360,yeah,
S3S6,372,S0276,I know ,
S5XD,2197,S0194,yeah ,
SLSS,654,S0585,did this happen to him in real life?,
SA4W,397,S0261,yeah,
SNG4,532,S0257,mm,
SD3R,1574,S0344,yeah but as ,
SMW8,4090,S0255,yeah,
SJRX,19,S0399,yeah yeah well she came well up,
S85D,2016,S0337,yeah,
SH2P,731,S0192,so you can't write in,
SAZX,721,S0602,fair enough,
SUVQ,5683,S0192,so they put the price of tabacco up,
SJSC,309,S0439,but then I guess ,
SD6X,1776,S0179,yes ,
SWY3,3118,S0391,that's between you and ,
SMVW,177,S0392,oh okay,
SY5K,273,S0651,which is another reason that this CCG doesn't want them as part of their picture cos they're going to charge more money and do things,
SJB4,4273,S0192,and just like well it doesn't really matter does it? until they're like if they're good at something when they're about fifteen or sixteen maybe they'll be good at it when they're older,
SB4D,721,S0192,it's a something chamber ,
S35K,1902,S0262,there I can already see that there's you know there's quite a lot of erm strands to his let's say to his ,
S6BS,1003,S0594,go on ,
SWY3,2811,S0391,than bankers,
SN8K,1695,S0318,no,
SA2J,2380,S0641,it wasn't worth it?,
S3LE,2350,S0342,have you got a dishwasher?,
SN8K,242,S0317,six-month probation yeah,
S6W8,444,S0497,shall I get someone to discard the handmaiden?,
S7JS,219,S0522,yeah me too ,
SFJ2,309,S0275,yeah he woke up every two hours,
SJRQ,474,S0391,you start to rule things out,
SUVQ,8909,S0236,yeah in London yeah if you live in a big city ,
SR5J,686,S0492,that is a train,
S5U8,381,S0417,yeah,
SR7C,384,S0623,where would you like to go?,
SAUR,3074,S0227,mm,
SYHP,482,S0360,mm sees that Polish,
S9KS,281,S0439,that's excessive burglary,
S985,937,S0337,yeah,
SNRQ,96,S0018,it is so much more difficult on the phone as well isn't it cos?,
SN8K,1029,S0317,oh yes,
SYHP,1801,S0360,so er,
S38V,1400,S0198,I don't know,
SA4W,129,S0261,for sure and and some of these people who are in Location Rebel who have been based in Asia doing work or the other outfits all have some connection and some manner,
SYWR,616,S0392,we should do that again shouldn't we ,
S28F,2019,S0255,yeah,
SY5K,418,S0282,yeah,
SMZV,1188,S0363,decaf?,
SN8K,1601,S0255,oh,
SA2J,3141,S0525,you're all wasting time at the other end,
S6W8,3545,S0494,black,
S5XD,671,S0196,so she would never do anything whereby you're not on the same page for something that strong ,
SYHP,3170,S0262,right and when you get to,
S7RA,492,S0278,it just hangs but now we've got photographs,
SJB4,3023,S0192,so far all that's happened is ,
SYWR,250,S0391,is he,
SXJP,124,S0439,cos through the weekend it didn't bother but then we got on the flight and she started to cry,
S632,7472,S0208,I know,
S632,2780,S0220,thank you very much,
SUVQ,1244,S0198,yeah yeah yeah,
SMW8,2492,S0316,yeah,
SA2J,2445,S0622,yeah I know ,
SN98,914,S0192,erm she's done a variety of care jobs,
SFJ2,504,S0276,I think you may have ,
S3LE,2848,S0337,and it's it's a it's yeah it's a brand like,
SWY3,482,S0545,that's right,
SR5J,938,S0497,it's horrible,
S6W8,2496,S0493,to ,
SD3R,1360,S0349,that's awkward,
SDFL,1509,S0012,right ,
SA7J,1416,UNKMULTI,on the mat,
SNG4,1147,S0255,mm,
SR5J,1180,S0495,no I think it was yours ,
SUVQ,1799,S0198,yeah,
SYWR,387,S0392,yeah,
SJRQ,916,S0390,yeah,
SV28,79,S0192,as it was it was the twenty-sixth ,
SUVQ,1793,S0198,it has in the last few years it's quite a lot,
SUVQ,3888,S0235,so I just chucked all the cases away,
SJB4,1174,S0199,five,
SJB4,1872,S0192,oh okay so it's the highest one of each one cool ,
SKRC,1108,S0481,there's not much left of that place ,
SMW8,2905,S0255,I would never have thought he was Spanish,
SMW8,1166,S0316,mm,
S7ZG,591,S0262,mm,
S38V,1601,S0192,cardamom we don't need,
S28F,1447,S0255,yeah yeah I did ,
S968,866,S0494,I'll take a green and one off the top please? ,1
SPZ4,39,S0392,giving you something you can't avoid,
SG56,725,S0401,yeah,
SD6X,678,S0179,just declare it statutory off the road,
S85D,719,S0345,and then you've been in contact with,
S38V,1404,S0198,other things if we want stuff you can you buy it or you,
SLJ5,293,S0679,mm,
S985,1779,S0336,don't really know,
SNG4,472,S0257,mm but I'm er I'm sure you know if you set your mind to it ,
SC8H,297,S0391,oh I don't know,
S3S6,385,S0275,I love when they play each other yeah ,
SLSS,2633,S0583,don't I don't think I no,
SKRC,331,S0481,youthfulness conditioner ,
SRNC,487,S0584,really?,
SQ3P,605,S0519,foolish one,
SFNQ,7,S0192,bit busy,
SUVQ,1929,S0235,well I ,
SEKZ,1590,S0353,when you're well yeah ,
S84P,104,S0024,there's some wood as well ,
SA2J,1248,S0525,erm ,
SQ2W,508,S0439,yeah ,
SJB4,3788,S0199,it's going ,
S6W8,4169,S0497,so so say if you have any other colour it's better to have an extra one in that colour in case another one comes out of there,
SKJ3,353,S0230,and ,
SN8K,1456,S0255,yeah,
SN98,313,UNKMALE,sausage and mash?,
S682,27,S0192,where did you get these from? just any website in particular or you just searched? beautiful Japanese image,
S63L,503,S0261,who offer who are actually trying to do their own thing starting out,
SA2J,2522,S0622,I dunno ,
SA2J,3303,S0622,well she she is both,
S632,6614,S0220,what?,
S3LE,3235,S0343,all the way,
SB32,1012,S0617,erm,
S6W8,653,S0496,I'd be a great liar,
SXAN,195,S0486,that's that's the plan anyway,
SHJE,2,S0594,Freudian slip,
S6W8,811,S0492,er,
SAZX,552,S0600,yeah there's one up there's one up outside the ,
SKZX,415,S0392,you've held the camcorder before do you remember when we were buying it about five years ago? six years ago it's the same principle,
S6W8,1730,S0492,I read a thing that was actually,
SN8K,1440,S0318,although I might be going back mightn't I?,
SQ3P,1185,S0520,policy,
SJKD,250,S0622,but I just want,1
SQ36,154,S0336,cos of the cos you leave heat marks or something,
S28F,708,S0255,no and it's like,
SN8K,16,S0255,yeah oh yeah I'm I'm not gonna go mad,
SUVQ,8401,S0198,I don't ,
S7RA,431,S0278,I can understand why they do what it what it is that if you if that was a house you'd have to go to a government organisation to get permission to do stuff to it,
SA7J,776,S0543,yeah,
SA2J,2833,S0622,and do them as they load them pretty much most of them,
S35K,104,S0372,in the UK,
SD6X,2088,UNKMALE,sorry about that,
S85D,917,S0345,yeah,
S632,481,S0222,think he lets you,
SN98,622,S0192,the bike,
S5XD,1488,S0192,yeah,
S38V,811,S0192,well you would never take,
S985,1264,S0336,bring your own booze situation,
SB32,589,S0617,honestly it was awful ,
SUVQ,3331,S0192,if you like have it but I tell you what I was fucking horny when I came back,
SQ36,169,S0338,yes,
SY5K,209,S0651,arguably there are six hospices which have a bit of service into that community thing,
SMW8,193,S0316,a lot of people that have had an ,
SJB4,4757,S0192,but I need to tell you honestly I haven't been hitting the gym I haven't been lifting weights I haven't been running I haven't been doing these kind of things so I don't I there's so many variables,
SE3W,533,S0439,one bit of punctuation eh?,
SMW8,2148,S0256,yeah,
SAZX,726,S0600,oh yes right okay,
SPLU,228,S0525,oh ,
SB4D,599,S0197,and whereas as as Nick is he's sort of right-handed but plays plays left-handed,
S7UX,516,S0024,that's when you need these wall things that we bought in that other game that so you have have more cards and in your hand,
SDFR,96,S0416,we used to have a TV over there and that was the computer over there well first off,
S35K,1334,S0372,don't even have to go there,
SUVQ,10685,S0198,yeah,
SUVQ,9454,S0192,yeah,
S3M4,17,S0517,no nor me ,
SAUR,1171,S0227,the the the ,
S632,5243,S0221,now in Moscow ,
SRNC,637,S0584,mm ,
SFNQ,489,S0237,yeah I'm always free,
SJB4,1607,S0197,no we're just gonna put them on,
SUVQ,10474,S0235,they're on Youtube so they'll make a lot of money,
SEKZ,2310,S0262,yeah ,
SMW8,270,S0255,well people tend to try and jump from one to the other don't they occasionally? and then they fall in but yeah she just fell in didn't she?,
SUVQ,3510,S0198,no no you're coming to ,
S2QU,500,S0522,yeah,
SDXV,9,S0202,that guy with the glasses ,
S7ZG,320,S0261,oh yeah for sure,
S632,3356,S0220,right,
SKRC,341,S0440,no,
S6W8,3322,S0497,yeah but ,
S6W8,4572,S0494,no I'm alright ta,
SUDM,141,S0567,your Grandad is your parents' parent ,
SQ3P,219,S0519,the the one we sleep in is not dipping bit it's pretty old it's a three and it's a three quarter bed I mean it's just the most annoying size,
SUVQ,15644,S0192,would you ,
SRNC,1449,S0584,fuck off ,
S632,5118,S0221,Pegasus,
SUVQ,13797,S0236,yeah good source of protein bugs ,
SGYW,675,S0070,yeah,
SUVQ,13156,S0198,so your sister's got that?,
SJRQ,1963,S0393,can I have the your card garden card ,1
S985,794,S0346,it's about the same distance in the other direction,
SR87,196,S0417,no there's paper there I've been pointing at it,
SD6X,770,S0179,well turkey is ,
SEJT,316,S0262,I think so yeah I know he's not Irish anyway he's certainly not a Brit erm I actually have to look into who he is cos I thought he did a bloody good job and the the lead actor who's the solder who's left behind ,
SB32,936,S0617,yeah,
SFJ2,353,S0275,it's always American,
S6W8,5837,S0497,yes I have mate,
ST82,634,S0617,I know,
SEKZ,1135,S0262,mm,
STVQ,132,S0443,mm ,
SH2P,697,S0192,yeah,
ST82,1437,S0617,no,
SEKZ,885,S0262,you know,
SB32,131,S0617,who? nan?,
SWY3,2831,S0392,yeah daddy? Teletubbies as well come on,
S323,21,S0578,would you like to do six hours at the diner today?,
SA7J,2080,S0640,oh yeah,
SG56,909,S0388,oh,
SV28,472,S0198,no it goes up to two fifteen,
SDFL,2162,S0152,but then then you will have you know you you've had certain areas where you've had the Independence Party stand against and does cause the effect that you do have a coalition government because everybody's gone with them,
S2QU,358,S0522,er yeah just drank far too much alcohol,
SH2P,737,S0192,I was gonna show you this I've seen I know the Greek alphabet,
S632,1233,S0220,like he's the first judge like literally they could get a duck on the shore to do a better job than he could,
SAUR,2670,S0192,three yellow ,
SWY3,2982,S0392,Clever there,
S6W8,3903,S0497,it's shit they like put ,
S6KV,319,S0415,you're so funny you're such,
SJLF,181,S0202,there's a girl from Newcastle lives here,
S85D,1958,S0344,mm,
S3LE,2570,S0337,yeah,
SDFL,1521,S0154,Cherry pie,
SD3R,420,S0344,do you know what I mean? and I'm not being funny even if you forgot like you genuinely forgot,
S8CB,278,S0592,like I got you you know?,
SMW8,2839,S0316,it's quite close though isn't it? that's ,
S985,89,S0336,and then there was like some quite nice like,
SNG4,333,S0255,mm,
SZ98,553,S0441,really horrible,
S632,5105,S0202,his new album is shit his new album is shit,
SJRQ,92,S0393,mm,
S968,640,S0497,erm I'm gonna go take,
S3MW,783,S0615,at all ,
S28F,719,S0315,so do you have to turn that off at any point or do you just?,
S8CB,249,S0593,yeah,
SGBT,64,S0622,last time or one of the times I remember looking up a picture on your laptop and then drawing it out ,
S3SU,16,S0104,mm so did we didn't we darl? ,
SD6X,142,UNKMALE,I mean most of the Persian dishes they're not spicy at all,
SM99,1062,S0346,have you seen pictures of it?,
S6BS,774,S0592,yeah no might might have been helpful ,
SB32,695,S0623,won't be hard to,
SMW8,3700,S0316,I could be twenty-six ,
SYEF,880,S0615,I don't know I don't ,
S28F,1295,S0255,yeah,
SYHP,565,S0361,sorry Cooperson erm I I was the son of the Cooper but the,
SB32,458,S0525,so what was the best bit of your holiday then ,
S35K,1712,S0262,yes,
S35K,1030,S0372,watch or yeah his,
SP9F,437,S0262,do the work,
SH2P,277,S0192,no no I don't ,
S985,1976,S0337,yeah ,
SV28,273,S0192,yeah I did put a lot in there,
SJKD,285,S0567,right well I'll I'll do them when I've finished ,
SFNQ,1611,S0192,but we may never actually get married,
SMVW,358,S0390,oh no thank you ,
S6BS,1318,S0594,cos I dunno,
S78E,20,S0230,well at the end of erm church green there was that little ,
S38V,1947,S0192,is the blender pretty straightforward?,
SUVQ,14937,S0198,yeah,
SH2P,948,S0228,mm,
SP9F,1387,S0262,it's come from very different origins you know,
SUGJ,336,S0282,and then there's an instance they ask for the key back et cetera when this er there was a set of people who were in this office for a really long period of time getting in this office to get on the roof was the a right royal pain cos you could never get in,
S4QK,415,S0246,is that because I would have probably done something similar,
SYHP,845,S0261,and he and he picks on Germany as an example probably cos he's German,
SUVQ,9460,S0235,I erm,
SP9F,1786,S0335,and probably deputy head,
SWVQ,86,S0416,is she? how do you mean?,
SH2P,770,S0228,yeah you know like how ,
S7DR,352,S0167,yeah,
SDFL,2444,S0012,we'd better stop ,
S3LE,2587,S0337,yeah,
SFNQ,1352,S0237,yeah ,
S9KS,232,S0439,mm,
SUVQ,13519,S0198,at Morrison's too,
SYWB,158,S0418,hey yo ,
S968,2124,S0497,what what are you gonna well ,
SEBP,171,S0222,exactly ,
SY5K,357,S0651,and so my worry is ,
SD3R,1580,S0349,oh pop round and see this,
SD3R,125,S0344,because like if you went into the ins and outs of it like the reason people are so easily erm the reason people might go oh be be maybe slightly more harsh and more bitchy than they would in any other situation is because they don't really feel like ,
SD3R,1878,S0350,I think that,
SMZV,285,S0363,how's work for you?,
SBEV,12,S0336,been a long time since I've driven this car as well it's really and it feels like a lot heavier than mine it's really funny,
SR5H,694,S0593,she's just like a little ,
S6BS,1547,S0602,mm,
SUVQ,4533,S0198,trouble really yeah,
SAUR,4657,S0227,take two actions well we might as well have another pop at pop at that erm basestar,
SUVQ,7386,S0198,it says bitch on her back,
SUGJ,821,S0282,and if it's on the premises then they're not getting random calls at night which they don't ,
STVQ,17,S0443,okay,
SJB4,99,S0197,no it won't take long,
S3MW,359,S0525,is that what it is? ,
SYHP,138,S0262,I know what you mean like when you're studying or something,
SN98,1050,S0192,do you want another drink?,
SEKZ,1499,S0262,he was,
S6BS,2675,S0594,yeah so it's my turn now,
SAZX,135,S0594,fuck it was one of the two I couldn't remember,
ST47,683,S0125,yeah,
SB4D,1843,S0197,and his ,
SM8E,48,S0654,don't have them now,
S6W8,5659,S0497,so,
S7ZG,390,S0261,you know what I mean?,
SUUE,1108,S0371,it was crazy,
S5QR,330,S0325,yeah ,
SJB4,3428,S0199,and then what you gonna do?,
SBEV,144,S0336,and I don't really wanna do that and I don't wanna like I don't wanna pick something that's gonna take me ages either,
SPZ4,132,S0397,we wrote this,
SFNQ,1799,S0192,I've got a friend I told you ,
S985,2215,S0346,yeah cos I was still ,
SWY3,2001,S0392,you say twenty hours what do you say mummy?,
S9WB,152,S0108,go to ,
S6W8,5207,S0494,I'll take ,
S3LE,427,S0343,you sure you don't want?,
SM99,1581,S0337,teaching acting to be a nurse,
SB4D,1946,S0192,yeah erm ,
SXAN,45,S0486,yeah,
SUVQ,14880,S0192,is this a ,
S7DR,236,S0104,I've gotta go out to ,
SLSS,1323,S0583,and just yeah and I think that's why,
SV28,716,S0198,I've had a few slices of marmite toast,
SN8K,285,S0255,mm,
SB4D,473,S0192,yeah,
SEKZ,280,S0262,just see what happened so er anyway and then I said to him I'm a bit bored and he goes oh you like dogs? I went yeah I like dogs he goes okay come over here so he showed us the er compound they have for dogs,
S35K,1386,S0372,legs,
ST47,337,S0125,hmm,
SYWR,1061,S0392,will you?,
S632,4723,S0208,that one second word erm erm Jesus' mum her first name,
SUVQ,9052,S0192,yeah you did it right you did it right ,
SMW8,4047,S0255,yeah no ,
SM8E,376,S0655,like is when you're holding onto the top of the hoop and then you let your legs go off and try and do a splits in the air,
S5XD,557,S0196,you know I think of us you know walking down ,
SUVQ,10821,S0192,if you look out of the window you can see there's another window,
SJRQ,654,S0391,ah you see that's a good point,
SV28,843,S0192,are we eating there?,
SNMZ,1848,S0564,now I'm totally on my own,
SMW8,3240,S0316,but erm so then we went to a rooftop bar so we it was an amazing view across the city,
SMVW,295,S0393,oh,
SV28,353,S0192,well,
S9KS,309,S0439,I wonder what photo they probably just used the same photos as last time,
S38V,341,S0198,but it's quicker going the motorway way,
S632,6170,S0220,ah right that's different,
STBF,187,S0428,cos I used to work like if you go up from the ,
SLRD,420,S0647,mm,
SHCG,5,S0337,I was talking about this for ages wasn't I? now we're doing it,
SUVQ,11297,S0192,what was that character where he was mental?,
SWY3,2096,S0391,the jail one the ,
S3LE,2437,S0336,I do want like I want a properly muscly arms like not just like oh ,
S6W8,477,S0497,no ,
SAUR,1567,S0192,not ten,
SJRQ,1610,S0391,they do,
S4QK,276,S0246,yeah so that's fine,
S38V,1484,S0198,mm,
SGBT,84,S0622,cos erm once I was working with erm this was before just before the Christmas erm holidays I was working with ,
S6BS,2910,S0602,yeah let's just ignore the chips completely though,
SFJ2,305,S0275,exactly that's not good enough you should know I told you eight till eight,
SJB4,3107,S0192,flannel I remember when I was younger thinking bubble was a funny word,
ST82,303,S0622,yeah it was nice yeah,
SUVQ,310,S0236,just happened to be there,
S28F,1058,S0255,yeah he's fine and he er his he wants to get a house with a garage and a garden cos he wants to be able to have his car in the garage,
SN8K,1488,S0318,so we're meeting on Wednesday,
SUVQ,13526,S0198,like you can get a massive pack of sausages or something,
S4WJ,353,S0441,all remained unchanged in the plural it is also quite possible for the same noun to employ more than one of the above types of plural ,
SUVQ,4541,S0198,oh jesus ,
SN8K,1040,S0255,yeah,
SN98,1368,S0198,Waitrose?,
S968,1005,S0497,including me?,
SEKZ,1255,S0262,so what's the secret between your mum and dad then?,
SHJE,958,S0602,well it's a stupid name ,
SUVQ,7899,S0198,sorry,
S346,570,S0255,reserved for sixty minutes,
SUVQ,8645,S0236,mm,
SDS7,20,S0441,yeah ,
S6W8,2528,S0494,it can be infuriating,
SGYW,259,S0070,and I said yeah savages ,
SE3W,749,S0440,yeah,
SUGJ,738,S0645,cos it is theirs cos it's it's their second fire escape there's two fire escapes there's a mirror of fire escapes on the ,
SB4D,1964,S0189,mm just from like falling things,
SHCG,525,S0336,stays on business trips,
SDFL,691,S0152,so at the moment there's a shepherd in the Lake District who is putting pictures on of the ,
SWY3,2225,S0392,fourteen old and new wonders of the world now I always think wonders of the world,
SNE5,545,S0391,unlimited electricity get away,
SNMZ,1518,S0561,yeah,
S6BS,2065,S0602,sports and leisure?,
S6W8,796,S0493,alright ,
S632,6113,S0220,yeah,
SFNQ,1414,S0237,yeah erm but I yeah so I'm like basically like oh I might be the manager by next week so,
SDFL,1699,S0024,yeah ,
S985,197,S0337,that Afghan restaurant whatever it is ,
S632,4330,S0208,got it one,
SVZH,545,S0231,ah that's ridiculous now because,
SH2P,838,S0228,is it five then?,
SHBJ,484,S0070,well I'm not surprised,
SJN6,508,S0425,no no I'm I am I'm learning that it's just er it's just got to be good enough,
S3SU,83,S0167,and then I'd pay a manager and I'd just drift in and out whenever I fancied it,
SC8H,626,S0391,no no,
SA2J,1142,S0641,no one really knows it the the ,
SFCW,499,S0263,well for the student who never ,
SA2J,1120,S0641,yes they do,
S632,3440,S0208,you should have said that,
SMW8,4190,S0255,I've never put it on the radio,
S63L,488,S0262,right,
SRNC,1551,S0584,I don't think you can put websites in er Gumtree cos it says for a link to your website is five pounds,
SUVQ,8471,S0235,like people tend to use it as like studies or gyms,
SNMZ,1793,S0543,I think I'd ,
S968,1742,S0493,I think there's two or three,
SA2J,4,S0641,yeah ,
SYHP,3177,S0360,because if you start to add it all up you think to yourself why am I doing this? you know I could go so much further,
SNG4,2216,S0255,mm,
SKRC,88,S0439,well I was gonna say for Christmas I'll get you a PT session but I don't know if you'll carry it on,
SLSS,2595,S0583,how much? ,
SB32,1476,S0623,sixty's sixty's about ten,
SNRQ,409,S0018,that's like Czech,
SKKU,128,S0441,if it's not in writing as well,
SQ2W,51,S0439,means I can find somewhere to ,
SB32,747,S0623,she'd better not have one next door and be using it ,
SD6X,2113,S0058,mm,
SR5H,431,S0602,but there's been a lot of Christmases,
SP9F,1964,S0335,uhu,
SJSC,451,S0481,yeah good,
S7JS,127,S0522,mm,
SYWR,826,S0393,how many do you think I've lost since,
S6KV,9,S0415,mm,
S28F,49,S0255,no I didn't,
SUVQ,3527,S0192,and you got to you got to catch over,
SYWR,90,S0397,you did looked lovely you sent me a text,
SYWR,666,S0392,it's not really,
SBEV,41,S0363,and erm I said don't hold back on price cos I'm like,
S457,999,S0614,they would ,
SNE5,567,S0393,what would he buy?,
SJB4,4078,S0192,oh you get a mission?,
SQ2W,143,S0439,still I'll be like ha ha ha that's ,
SJB4,4403,S0192,cos he's gone isn't he?,
SP9F,922,S0335,I know ,
SG56,915,S0401,yeah,
SJRQ,1001,S0390,mm big one you know the bean ,
SDFL,1841,S0013,so you don't want it?,
S3MW,445,S0525,for this term and ,
SA4W,34,S0262,right,
S682,1209,S0189,yeah ,
SV28,123,S0192,they go kite flying on Dunstable Downs,
S5XD,1150,S0196,see now I ,
S3SU,268,S0167,she's a bit too small to hurt them anyway she couldn't really,
SUVQ,11657,S0235,yeah,
SUVQ,866,S0235,to adopt a child,
SYHP,538,S0361,erm er,
SG56,272,S0401,right,
ST82,315,S0617,for the four nights with the fees,
S3LE,1984,S0343,oh yeah yeah,
S7DR,225,S0167,I've still got it yeah I'll give it,
S7UX,454,S0012,A wheat,
S632,2991,S0208,slept next to his ,
SUVQ,14200,S0198,but no it wasn't even like that it was just like he didn't like he made himself understood and I could tell at that point he was Scottish but then he turned back to his wife and they started talking again and it was crazy like I've never come across an accent,
SWY3,2217,S0392,no,
S632,2737,S0208,okay,
SUGJ,539,S0282,cubicle-sized offcuts and then what? weld them together with the with the sticky ,
SN98,1332,S0198,my ways,
SJB4,4088,S0192,oh okay that,
S35K,1150,S0372,the book is mostly dialogue anyway,
SDFL,413,S0152,yeah will do ,
S985,640,S0336,okay,
SUVQ,15134,S0235,it's disgusting,
S78E,100,S0230,yeah,
S6BS,759,S0602,beaches roses and cars,
SYHP,2954,S0262,yeah,
SPLU,52,S0525,it's pancake day in a couple of ,
SKJ3,380,S0230,yeah,
S5XD,332,S0196,I know well I thought that that's why I said well it wouldn't have made any sense anyway but we could've put the bike in the back,
SBJM,147,S0326,have you have you looked at erm ,
